
BUSES AND NODES IN ACTIVE CIRCUIT: 5002086

                                                         Coord                                 Number of     Nodes
  Bus                               Base kV             (x, y)                      Keep?       Nodes        connected ...
"82029275002086"                  13.800          ( -49.333874476, -16.623190301)     No           3          1    2    3 
"82029285002086"                  13.800          ( -49.333755443, -16.622864015)     No           3          1    2    3 
"82027755002086"                  13.800          ( -49.333607963, -16.622520524)     No           3          1    2    3 
"82026605002086"                  13.800          ( -49.332792167, -16.626985095)     No           3          1    2    3 
"82026595002086"                  13.800          ( -49.333028208, -16.626822525)     No           3          1    2    3 
"82026585002086"                  13.800          ( -49.333258909, -16.626666398)     No           3          1    2    3 
"82026575002086"                  13.800          ( -49.333530945, -16.626474168)     No           3          1    2    3 
"82028845002086"                  13.800          ( -49.330572897, -16.625630843)     No           3          1    2    3 
"82028855002086"                  13.800          ( -49.330471115, -16.625267551)     No           3          1    2    3 
"82028865002086"                  13.800          ( -49.330645767, -16.625875427)     No           3          1    2    3 
"82026405002086"                  13.800          ( -49.329129256, -16.626739801)     No           3          1    2    3 
"82029325002086"                  13.800          ( -49.329183379, -16.626984234)     No           3          1    2    3 
"82029335002086"                  13.800          ( -49.329349506, -16.627283702)     No           3          1    2    3 
"82029345002086"                  13.800          ( -49.329505948, -16.627619329)     No           3          1    2    3 
"82029355002086"                  13.800          ( -49.329597026, -16.627856792)     No           3          1    2    3 
"82029705002086"                  13.800          ( -49.333261319, -16.622285091)     No           3          1    2    3 
"82029725002086"                  13.800          ( -49.333078448, -16.622141095)     No           3          1    2    3 
"82024955002086"                  13.800          ( -49.32944085 , -16.61880933 )     No           3          1    2    3 
"82030425002086"                  13.800          ( -49.330764876, -16.626192679)     No           3          1    2    3 
"82034485002086"                  13.800          ( -49.32096599 , -16.608329466)     No           3          1    2    3 
"82034255002086"                  13.800          ( -49.321077753, -16.608596793)     No           3          1    2    3 
"82036705002086"                  13.800          ( -49.317412387, -16.607433193)     No           3          1    2    3 
"82036695002086"                  13.800          ( -49.317139184, -16.607593642)     No           3          1    2    3 
"82036715002086"                  13.800          ( -49.317789073, -16.607228399)     No           3          1    2    3 
"82036725002086"                  13.800          ( -49.318005965, -16.607076529)     No           3          1    2    3 
"82036735002086"                  13.800          ( -49.318298067, -16.606898158)     No           3          1    2    3 
"82036745002086"                  13.800          ( -49.318429809, -16.606826932)     No           3          1    2    3 
"82036755002086"                  13.800          ( -49.318627957, -16.60667491 )     No           3          1    2    3 
"82036765002086"                  13.800          ( -49.319042443, -16.606434271)     No           3          1    2    3 
"82036775002086"                  13.800          ( -49.31929682 , -16.606282704)     No           3          1    2    3 
"82036785002086"                  13.800          ( -49.319541797, -16.606131079)     No           3          1    2    3 
"82033035002086"                  13.800          ( -49.327918396, -16.621273971)     No           3          1    2    3 
"87711685002086"                  13.800          ( -49.328169471, -16.621097034)     No           3          1    2    3 
"82033045002086"                  13.800          ( -49.328308668, -16.620832198)     No           3          1    2    3 
"82033055002086"                  13.800          ( -49.3284535  , -16.620552325)     No           3          1    2    3 
"82031795002086"                  13.800          ( -49.326072672, -16.614360606)     No           3          1    2    3 
"82030655002086"                  13.800          ( -49.325972086, -16.614130576)     No           3          1    2    3 
"82031895002086"                  13.800          ( -49.326525966, -16.615404128)     No           3          1    2    3 
"82031865002086"                  13.800          ( -49.326362355, -16.615026301)     No           3          1    2    3 
"82031805002086"                  13.800          ( -49.326255057, -16.61477313 )     No           3          1    2    3 
"82035235002086"                  13.800          ( -49.320976976, -16.614619101)     No           3          1    2    3 
"82035245002086"                  13.800          ( -49.321278066, -16.614485984)     No           3          1    2    3 
"82035275002086"                  13.800          ( -49.321466202, -16.614397138)     No           3          1    2    3 
"82031955002086"                  13.800          ( -49.321739018, -16.614281865)     No           3          1    2    3 
"82035255002086"                  13.800          ( -49.321880229, -16.614210712)     No           3          1    2    3 
"82036265002086"                  13.800          ( -49.320412677, -16.614840457)     No           3          1    2    3 
"82036285002086"                  13.800          ( -49.320082307, -16.614961988)     No           3          1    2    3 
"82036295002086"                  13.800          ( -49.319895474, -16.615035081)     No           3          1    2    3 
"82036245002086"                  13.800          ( -49.320412686, -16.614840439)     No           3          1    2    3 
"82036275002086"                  13.800          ( -49.320532155, -16.615112533)     No           3          1    2    3 
"82036305002086"                  13.800          ( -49.320200668, -16.614432075)     No           3          1    2    3 
